address,timeframe,trade_count,wins,losses,wins_usd,losses_usd,volume,profit,win_rate,in_tier,resolved_trades
0x03524d9d00cffe5004d1d270edfea7b3109e3292,15min,34,18,16,369.99,1302.73,1449.62,-932.74,0.5294,0,34
0x03575f5ca8180958ea64f2613edca8a8c3d75545,15min,75,44,31,839.39,983.22,4731.64,-143.83,0.5867,0,75
0x03575f5ca8180958ea64f2613edca8a8c3d75545,hourly,16,8,8,278.25,29.4,1530.73,248.85,0.5,0,16
0x035b70a1dc6e41247776602408c6b0619f437c8f,daily,10,1,7,16.67,41.47,150.44,-24.8,0.125,0,8
0x037055d4e0b4e2bc09a47c1857f1956c596ad000,daily,26,10,16,1781.75,109.78,5424.69,1671.98,0.3846,0,26
0x0373d809a29d64f9982a05c18d0073e9e866ff0d,monthly,31,0,2,0.0,1.56,584.1,-1.56,0.0,0,2
0x037c9f084a4a559655903df8d89301fc86dfdb28,15min,71,47,24,206.34,49.35,216.0,156.99,0.662,0,71
0x0386204f5c2b4a7cb52c357753287aec96134789,15min,21,5,16,46.83,55.02,349.38,-8.19,0.2381,0,21
0x03864969d446a41976dd96b805287106c2ea2b1a,daily,13,6,7,161.31,77.11,381.75,84.2,0.4615,0,13
0x038844c3cbce4500f60fb1a38daf94945051072c,monthly,11,0,0,0.0,0.0,75.25,0.0,0.0,0,0
0x038b7d09152b04ba329a5d53b6a51a78f682dd5b,15min,10,8,2,55.93,13.1,35.79,42.83,0.8,0,10
0x039bd6038649f29cd96698194920e15658fb93e9,daily,20,7,10,13.18,12.89,100.41,0.29,0.4118,0,17
0x039c18c724ca1639b996ed5464e369e276a38a58,15min,26,8,18,13.21,19.1,247.5,-5.89,0.3077,0,26
0x03a9f592e5eb9a34f0df6c41c3a37c1f063237ba,daily,101,52,49,10840.44,22908.98,55627.19,-12068.54,0.5149,0,101
0x03bfe36671221147f00fa2ad1d11351d5f115bb4,15min,14,7,7,47.74,54.3,74.55,-6.56,0.5,0,14
