address,total_net_pnl_usd,num_tokens,win_tokens,loss_tokens,win_rate,best_timeframe,tf_win_rate
0xd33ae5e443f1923eb86fb7c30370237b0b0e06c8,"+9,278.00",3,2,1,0.67,-,-
0x4c2c913dffdbb0ff1cb19b425bedcee9aa1c898a,"+9,231.35",2,2,0,1.00,monthly,0.88
0xd1b562d73d591b9d2e03ffeb7188c54de20b0021,"+9,205.00",3,3,0,1.00,-,-
0x583f70da7ee63bc1562e945f99c3407ffd622dab,"+9,148.89",4,2,2,0.50,daily,0.33
0x7e456e9a8ed683213fc64c2f84b101f6e8a85b61,"+8,971.98",13,8,5,0.62,15min,0.30
0x0a7ed19909e9b4c6cd0fc1d59c1d481415a1fce4,"+8,929.70",6,4,2,0.67,daily,0.86
0xebc0df15e665da95bf819105b723ae90042ffa41,"+8,814.70",2,1,1,0.50,-,-
0x71761d704fee5aefb1ab49e2e0f5e7124b7fd9a7,"+8,596.95",92,73,19,0.79,15min,0.54
0xc03e61eb0c273f91a479310e0727a73033578582,"+8,562.06",138,78,60,0.57,hourly,0.46
0xa0f21e6d351baa9185716b5c00c2925ed9621848,"+8,495.88",3,1,2,0.33,daily,0.44
0x244c537bb4121ad8e5093b7de73eb24c967d348e,"+8,400.00",5,5,0,1.00,hourly,0.70
0x2fd2ac11d532c94c6e3d3977d046dbc48d3a1e85,"+8,385.66",3,1,2,0.33,daily,0.18
0x467c5bb6b64873e370220868d27b93a8d3a38c89,"+8,273.96",3,3,0,1.00,daily,0.68
0x79f0df70e6582dbf4e0cc69c627ecbce0348964e,"+8,175.94",3,2,1,0.67,-,-
0x2bace940278da373e37fcf5c5576ecb41290f238,"+8,158.43",1,1,0,1.00,hourly,0.86
0xdfda619063bae73456ea98ef47d0311394ebab9d,"+8,120.00",4,3,1,0.75,-,-
0x748ca2017dbd3d641edab200c447575a4cfa9b2b,"+8,110.00",3,3,0,1.00,-,-
0x9319fbf9a274edb3a2bc2c22d92c3e0e55dcc539,"+8,100.00",4,4,0,1.00,hourly,1.00
0xc36bb410da97106bdaa3c1d74b0190a777faa540,"+8,047.78",10,7,3,0.70,daily,0.51
0xfd08d904482abcf32e37942e79e12785da20ee64,"+8,012.42",1,1,0,1.00,15min,0.88
0xa9e8faf20424f3efbf12abaea0e7069d7546c443,"+8,004.56",3,2,1,0.67,hourly,0.45
0x699dbf0a103daed6cb6d5fc5a7c2e4a911d30501,"+7,970.50",4,4,0,1.00,daily,0.93
0xded2153a240530d6caa94dfb37091673428fa4ff,"+7,954.00",6,4,2,0.67,-,-
0xd12068233fa615498ee2bc5ef11b933309c319fc,"+7,917.02",2,2,0,1.00,daily,0.69
0xf2688795bf1368d3a7db4717f022c7fb899e4232,"+7,900.00",3,3,0,1.00,-,-
0xcf119e969f31de9653a58cb3dc213b485cd48399,"+7,880.43",2,1,1,0.50,daily,0.75
0x330efa1eaebfc30b51686879a846885ed546bf6c,"+7,868.69",356,219,137,0.62,15min,0.46
0x9f60c2989c5116f108476653ca4f8f713d1d9879,"+7,861.58",5,5,0,1.00,15min,0.79
0xf933a9c0f7e2ec7836b54d8082d7bf09b7f408e8,"+7,815.00",4,4,0,1.00,-,-
0x2f72b450da4a080d97b41231d4cea6b04fb487e3,"+7,806.75",4,4,0,1.00,15min,0.97
0xe7a9b1df049e668113a79b6edabe7920098cf79b,"+7,791.50",2,2,0,1.00,-,-
0x56c9fbdeccf198f1f5ad95ace39b24f5f7fb0d9e,"+7,765.02",2,1,1,0.50,daily,0.09
0x1835ea8b147157e90c298c550f3f0f4d8543b828,"+7,710.99",2,2,0,1.00,monthly,1.00
0xad8e8a7a8f96b0081062a20dd06b36e153e20bc6,"+7,522.09",17,12,5,0.71,15min,0.50
0x075bf5d292de8529279136e8b2072e96352fcdb7,"+7,505.00",2,2,0,1.00,-,-
0x4a137df940089e4bab63c19b1571cd5e81bbc68c,"+7,500.00",4,4,0,1.00,-,-
0x8f7b24a4c0ae15495b31871ca473db0d912c132a,"+7,500.00",4,4,0,1.00,-,-
0xe1f0ad7290d1463a05dd853ec7fa25ed569f3dd2,"+7,500.00",4,4,0,1.00,-,-
0x5c3a1a602848565bb16165fcd460b00c3d43020b,"+7,495.58",2,1,1,0.50,daily,0.70
